bios,bluetooth,link,name,network,processor,system,usb,video,wireless
Dell 0.7.1,Intel Corp. 8087:0026  (8087:0026),https://ubuntu.com/certified/202001-27666/20.04%20LTS,Dell Precision 5550,,Intel Corp. Intel(R) Core(TM) i7-10850H CPU @ 2.70GHz,Dell Precision 5550,"Intel Corp. Comet Lake USB 3.1 xHCI Host Controller  (8086:06ed),Intel Corp. JHL7540 Thunderbolt 3 USB Controller [Titan Ridge 4C 2018]  (8086:15ec)","nVidia TU117GLM [Quadro T2000 Mobile / Max-Q]  (10de:1fb8),Intel Corp. UHD Graphics  (8086:9bc4)",Intel Corp. Wireless AX201  (8086:06f0)
Dell 0.5.93,Intel Corp. 8087:0026  (8087:0026),https://ubuntu.com/certified/202010-28323/20.04%20LTS,Dell Latitude 7420,,Intel Corp. 11th Gen Intel(R) Core(TM) i7-1185G7 @ 3.00GHz,Dell Latitude 7520,"Intel Corp. Tiger Lake-LP Thunderbolt USB Controller  (8086:9a13),Intel Corp. Tiger Lake-LP Thunderbolt NHI #0  (8086:9a1b),Intel Corp. Tiger Lake-LP USB 3.2 Gen 2x1 xHCI Host Controller  (8086:a0ed)",Intel Corp. UHD Graphics  (8086:9a49),Intel Corp. Wi-Fi 6 AX201  (8086:a0f0)
Dell 1.4.0,Intel Corp. 8087:0026  (8087:0026),https://ubuntu.com/certified/202005-27874/20.04%20LTS,Dell Precision 3551,,Intel Corp. Intel(R) Xeon(R) W-10855M CPU @ 2.80GHz,Dell Precision 5550,"Intel Corp. Comet Lake USB 3.1 xHCI Host Controller  (8086:06ed),Intel Corp. JHL7540 Thunderbolt 3 USB Controller [Titan Ridge 4C 2018]  (8086:15ec)","nVidia TU117GLM [Quadro T2000 Mobile / Max-Q]  (10de:1fb8),Intel Corp. 8086:9bf6  (8086:9bf6)",Intel Corp. Wireless AX201  (8086:06f0)
Dell 0.5.93,Intel Corp. 8087:0026  (8087:0026),https://ubuntu.com/certified/202010-28321/20.04%20LTS,Dell Precision 5550,,Intel Corp. 11th Gen Intel(R) Core(TM) i7-1185G7 @ 3.00GHz,Dell Latitude 7420,"Intel Corp. Tiger Lake-LP Thunderbolt USB Controller  (8086:9a13),Intel Corp. Tiger Lake-LP Thunderbolt NHI #0  (8086:9a1b),Intel Corp. Tiger Lake-LP USB 3.2 Gen 2x1 xHCI Host Controller  (8086:a0ed)",Intel Corp. UHD Graphics  (8086:9a49),Intel Corp. Wi-Fi 6 AX201  (8086:a0f0)
Dell 0.5.15,Intel Corp. 8087:0026  (8087:0026),https://ubuntu.com/certified/202010-28346/20.04%20LTS,Dell Precision 5550,,Intel Corp. 11th Gen Intel(R) Core(TM) i5-1145G7 @ 2.60GHz,Dell Latitude 9520,"Intel Corp. Tiger Lake-LP Thunderbolt USB Controller  (8086:9a13),Intel Corp. Tiger Lake-LP Thunderbolt NHI #0  (8086:9a1b),Intel Corp. Tiger Lake-LP USB 3.2 Gen 2x1 xHCI Host Controller  (8086:a0ed)",Intel Corp. UHD Graphics  (8086:9a49),Intel Corp. Wi-Fi 6 AX201  (8086:a0f0)
Dell 0.3.22,Intel Corp. 8087:0032  (8087:0032),https://ubuntu.com/certified/202103-28816/20.04%20LTS,Dell Latitude 7320,Intel Corp. Ethernet Connection (14) I219-LM  (8086:15f9),Intel Corp. Intel(R) Xeon(R) W-11855M CPU @ 3.20GHz,,"Intel Corp. Tiger Lake-H USB 3.2 Gen 2x1 xHCI Host Controller  (8086:43ed),Intel Corp. Tiger Lake-H Thunderbolt USB Controller  (8086:9a17),Intel Corp. Tiger Lake-H Thunderbolt NHI #0  (8086:9a1f)","nVidia TU117GLM [T1200 Laptop GPU]  (10de:1fbc),Intel Corp. 8086:9a70  (8086:9a70)",Intel Corp. Wi-Fi 6 AX210/AX211/AX411 160MHz  (8086:2725)
Dell 0.5.83,Intel Corp. 8087:0026  (8087:0026),https://ubuntu.com/certified/202010-28322/20.04%20LTS,Dell Latitude 5520,,Intel Corp. 11th Gen Intel(R) Core(TM) i5-1145G7 @ 2.60GHz,Dell Latitude 7520,"Intel Corp. Tiger Lake-LP Thunderbolt USB Controller  (8086:9a13),Intel Corp. Tiger Lake-LP Thunderbolt NHI #0  (8086:9a1b),Intel Corp. Tiger Lake-LP USB 3.2 Gen 2x1 xHCI Host Controller  (8086:a0ed)",Intel Corp. UHD Graphics  (8086:9a49),Intel Corp. Wi-Fi 6 AX201  (8086:a0f0)
Dell 0.5.93,Intel Corp. 8087:0026  (8087:0026),https://ubuntu.com/certified/202010-28329/20.04%20LTS,Dell Latitude 5520,,Intel Corp. 11th Gen Intel(R) Core(TM) i7-1185G7 @ 3.00GHz,Dell Latitude 7320,"Intel Corp. Tiger Lake-LP Thunderbolt USB Controller  (8086:9a13),Intel Corp. Tiger Lake-LP Thunderbolt NHI #0  (8086:9a1b),Intel Corp. Tiger Lake-LP USB 3.2 Gen 2x1 xHCI Host Controller  (8086:a0ed)",Intel Corp. UHD Graphics  (8086:9a49),Intel Corp. Wi-Fi 6 AX201  (8086:a0f0)
Dell 0.5.19,Intel Corp. 8087:0026  (8087:0026),https://ubuntu.com/certified/202010-28347/20.04%20LTS,Dell Latitude 5520,,Intel Corp. 11th Gen Intel(R) Core(TM) i7-1185G7 @ 3.00GHz,Dell Latitude 9520,"Intel Corp. Tiger Lake-LP Thunderbolt USB Controller  (8086:9a13),Intel Corp. Tiger Lake-LP Thunderbolt NHI #0  (8086:9a1b),Intel Corp. Tiger Lake-LP USB 3.2 Gen 2x1 xHCI Host Controller  (8086:a0ed)",Intel Corp. UHD Graphics  (8086:9a49),Intel Corp. Wi-Fi 6 AX201  (8086:a0f0)
Dell 0.5.93,Intel Corp. 8087:0026  (8087:0026),https://ubuntu.com/certified/202010-28320/20.04%20LTS,Dell Latitude 5521,,Intel Corp. 11th Gen Intel(R) Core(TM) i7-1185G7 @ 3.00GHz,Dell Latitude 7420,"Intel Corp. Tiger Lake-LP Thunderbolt USB Controller  (8086:9a13),Intel Corp. Tiger Lake-LP Thunderbolt NHI #0  (8086:9a1b),Intel Corp. Tiger Lake-LP USB 3.2 Gen 2x1 xHCI Host Controller  (8086:a0ed)",Intel Corp. UHD Graphics  (8086:9a49),Intel Corp. Wi-Fi 6 AX201  (8086:a0f0)
Dell 0.7.1,Intel Corp. 8087:0026  (8087:0026),https://ubuntu.com/certified/202001-27664/20.04%20LTS,Dell Latitude 5521,,Intel Corp. Intel(R) Core(TM) i5-10400H CPU @ 2.60GHz,Dell Precision 5550,"Intel Corp. Comet Lake USB 3.1 xHCI Host Controller  (8086:06ed),Intel Corp. JHL7540 Thunderbolt 3 USB Controller [Titan Ridge 4C 2018]  (8086:15ec)","nVidia TU117GLM [Quadro T1000 Mobile]  (10de:1fb9),Intel Corp. UHD Graphics  (8086:9bc4)",Intel Corp. Wireless AX201  (8086:06f0)
Dell 1.4.0,Intel Corp. 8087:0026  (8087:0026),https://ubuntu.com/certified/202005-27873/20.04%20LTS,Dell Latitude 5421,,Intel Corp. Intel(R) Core(TM) i9-10885H CPU @ 2.40GHz,Dell Precision 5550,"Intel Corp. Comet Lake USB 3.1 xHCI Host Controller  (8086:06ed),Intel Corp. JHL7540 Thunderbolt 3 USB Controller [Titan Ridge 4C 2018]  (8086:15ec)","nVidia TU117GLM [Quadro T2000 Mobile / Max-Q]  (10de:1fb8),Intel Corp. UHD Graphics  (8086:9bc4)",Intel Corp. Wireless AX201  (8086:06f0)
Dell 0.4.77,Intel Corp. 8087:0032  (8087:0032),https://ubuntu.com/certified/202010-28313/20.04%20LTS,Dell Latitude 3520 (Core i5-1135G7),Intel Corp. Ethernet Connection (13) I219-LM  (8086:15fb),Intel Corp. 11th Gen Intel(R) Core(TM) i5-1145G7 @ 2.60GHz,Dell Latitude 5520,"Intel Corp. Tiger Lake-LP Thunderbolt USB Controller  (8086:9a13),Intel Corp. Tiger Lake-LP Thunderbolt NHI #0  (8086:9a1b),Intel Corp. Tiger Lake-LP USB 3.2 Gen 2x1 xHCI Host Controller  (8086:a0ed)","nVidia TU117M [GeForce MX450]  (10de:1f97),Intel Corp. UHD Graphics  (8086:9a49)",Intel Corp. Wi-Fi 6 AX210/AX211/AX411 160MHz  (8086:2725)
