bios,bluetooth,link,name,network,processor,system,usb,video,wireless
Dell 0.5.8,Intel Corp. 8087:0026  (8087:0026),https://ubuntu.com/certified/202103-28885/20.04%20LTS,Lenovo ThinkPad X13 Gen2 AMD,"Realtek Semiconductor Co., Ltd. RTL8111/8168/8411 PCI Express Gigabit Ethernet Controller  (10ec:8168)",Intel Corp. 11th Gen Intel(R) Core(TM) i7-11800H @ 2.30GHz,,"Intel Corp. Tiger Lake-H USB 3.2 Gen 2x1 xHCI Host Controller  (8086:43ed),Intel Corp. Tiger Lake-H Thunderbolt USB Controller  (8086:9a17)","nVidia GA107M [GeForce RTX 3050 Ti Mobile]  (10de:25a0),Intel Corp. TigerLake GT2 [Iris Xe Graphics]  (8086:9a60)",Intel Corp. Wi-Fi 6 AX201  (8086:43f0)
Dell 0.2.4,Intel Corp. Bluetooth 9460/9560 Jefferson Peak (JfP)  (8087:0aaa),https://ubuntu.com/certified/202101-28596/20.04%20LTS,Dell Latitude 3301,,Intel Corp. 11th Gen Intel(R) Core(TM) i5-11300H @ 3.10GHz,Dell Inspiron 5518,"Intel Corp. Tiger Lake-LP Thunderbolt USB Controller  (8086:9a13),Intel Corp. Tiger Lake-LP Thunderbolt NHI #0  (8086:9a1b),Intel Corp. Tiger Lake-LP USB 3.2 Gen 2x1 xHCI Host Controller  (8086:a0ed)","nVidia TU117M [GeForce MX450]  (10de:1f97),Intel Corp. UHD Graphics  (8086:9a49)",Intel Corp. Wi-Fi 6 AX201  (8086:a0f0)
Dell 0.5.8,Intel Corp. 8087:0026  (8087:0026),https://ubuntu.com/certified/202103-28886/20.04%20LTS,Dell Latitude 3301,"Realtek Semiconductor Co., Ltd. RTL8111/8168/8411 PCI Express Gigabit Ethernet Controller  (10ec:8168)",Intel Corp. 11th Gen Intel(R) Core(TM) i7-11800H @ 2.30GHz,,"Intel Corp. Tiger Lake-H USB 3.2 Gen 2x1 xHCI Host Controller  (8086:43ed),Intel Corp. Tiger Lake-H Thunderbolt USB Controller  (8086:9a17)","nVidia GA107  (10de:25a2),Intel Corp. TigerLake GT2 [Iris Xe Graphics]  (8086:9a60)",Intel Corp. Wi-Fi 6 AX201  (8086:43f0)
Dell 0.4.6,Intel Corp. 8087:0026  (8087:0026),https://ubuntu.com/certified/202012-28554/20.04%20LTS,Dell Latitude 3301,"Realtek Semiconductor Co., Ltd. RTL8111/8168/8411 PCI Express Gigabit Ethernet Controller  (10ec:8168)",Intel Corp. Intel(R) Core(TM) i5-10200H CPU @ 2.40GHz,Dell Dell G15 5510,Intel Corp. Comet Lake USB 3.1 xHCI Host Controller  (8086:06ed),"nVidia TU117M [GeForce GTX 1650 Mobile / Max-Q]  (10de:1f9d),Intel Corp. 8086:9ba4  (8086:9ba4)",Intel Corp. Wireless AX201  (8086:06f0)
Dell 1.0.0,Intel Corp. 8087:0026  (8087:0026),https://ubuntu.com/certified/202007-28053/20.04%20LTS,Dell Latitude 3301,,Intel Corp. 11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz,Dell Inspiron 5502,"Intel Corp. Tiger Lake-LP Thunderbolt USB Controller  (8086:9a13),Intel Corp. Tiger Lake-LP Thunderbolt NHI #0  (8086:9a1b),Intel Corp. Tiger Lake-LP USB 3.2 Gen 2x1 xHCI Host Controller  (8086:a0ed)",Intel Corp. UHD Graphics  (8086:9a49),Intel Corp. Wi-Fi 6 AX201  (8086:a0f0)
Dell 1.5.0,Atheros Communications 0cf3:e007  (0cf3:e007),https://ubuntu.com/certified/202009-28239/20.04%20LTS,Dell Latitude 3301,"Realtek Semiconductor Co., Ltd. 10ec:2502  (10ec:2502)",Intel Corp. Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,Dell G5 5500,"nVidia TU116 USB 3.1 Host Controller  (10de:1aec),Intel Corp. Comet Lake USB 3.1 xHCI Host Controller  (8086:06ed),Intel Corp. JHL7540 Thunderbolt 3 USB Controller [Titan Ridge 2C 2018]  (8086:15e9)","nVidia TU116M [GeForce GTX 1660 Ti Mobile]  (10de:2191),Intel Corp. UHD Graphics  (8086:9bc4)",Qualcomm Atheros Killer N1525 Wireless-AC  (168c:003e)
Dell 1.5.0,Intel Corp. 8087:0026  (8087:0026),https://ubuntu.com/certified/202009-28229/20.04%20LTS,Dell Latitude 3301,"Realtek Semiconductor Co., Ltd. 10ec:2502  (10ec:2502)",Intel Corp. Intel(R) Core(TM) i9-10885H CPU @ 2.40GHz,Dell G5 5500,"nVidia TU106 USB 3.1 Host Controller  (10de:1ada),Intel Corp. Comet Lake USB 3.1 xHCI Host Controller  (8086:06ed),Intel Corp. JHL7540 Thunderbolt 3 USB Controller [Titan Ridge 2C 2018]  (8086:15e9)","nVidia TU106 [GeForce RTX 2060]  (10de:1f15),Intel Corp. UHD Graphics  (8086:9bc4)",Intel Corp. Wireless AX201  (8086:06f0)
Lenovo N39ET21W (1.00 ),Intel Corp. 8087:0026  (8087:0026),https://ubuntu.com/certified/202104-28987/20.04%20LTS,Dell Latitude 3301,Lenovo Lenovo USB-C to LAN  (17ef:720c),Intel Corp. 11th Gen Intel(R) Core(TM) i7-1185G7 @ 3.00GHz,,"Intel Corp. Tiger Lake-LP Thunderbolt USB Controller  (8086:9a13),Intel Corp. Tiger Lake-LP Thunderbolt NHI #0  (8086:9a1b),Intel Corp. Tiger Lake-LP Thunderbolt NHI #1  (8086:9a1d),Intel Corp. Tiger Lake-LP USB 3.2 Gen 2x1 xHCI Host Controller  (8086:a0ed)",Intel Corp. UHD Graphics  (8086:9a49),Intel Corp. Wi-Fi 6 AX201  (8086:a0f0)
Dell 1.0.0,Atheros Communications 0cf3:e007  (0cf3:e007),https://ubuntu.com/certified/202007-28054/20.04%20LTS,Dell Latitude 3301,,Intel Corp. 11th Gen Intel(R) Core(TM) i3-1115G4 @ 3.00GHz,Dell Inspiron 5402,"Intel Corp. Tiger Lake-LP Thunderbolt USB Controller  (8086:9a13),Intel Corp. Tiger Lake-LP Thunderbolt NHI #0  (8086:9a1b),Intel Corp. Tiger Lake-LP USB 3.2 Gen 2x1 xHCI Host Controller  (8086:a0ed)",Intel Corp. 8086:9a78  (8086:9a78),Qualcomm Atheros Killer N1525 Wireless-AC  (168c:003e)
Lenovo R1CET55T(1.24 ),Intel Corp. AX200 Bluetooth  (8087:0029),https://ubuntu.com/certified/202006-27979/20.04%20LTS,Lenovo ThinkPad X13 Gen2,"Realtek Semiconductor Co., Ltd. RTL8111/8168/8411 PCI Express Gigabit Ethernet Controller  (10ec:8168)","Advanced Micro Devices, Inc. AMD Ryzen 7 PRO 4750U with Radeon Graphics",Lenovo 20UFZ5D7US,"Advanced Micro Devices [AMD] Renoir USB 3.1  (1022:1639),Realtek Semiconductor Co., Ltd. RTL8111xP EHCI host controller  (10ec:816d),Renesas Technology Corp. uPD720202 USB 3.0 Host Controller  (1912:0015)","Advanced Micro Devices, Inc. [AMD/ATI] Renoir  (1002:1636)",Intel Corp. Wi-Fi 6 AX200  (8086:2723)
Dell 1.5.0,Intel Corp. 8087:0026  (8087:0026),https://ubuntu.com/certified/202009-28240/20.04%20LTS,Lenovo ThinkPad X13 Gen2,"Realtek Semiconductor Co., Ltd. 10ec:2502  (10ec:2502)",Intel Corp. Intel(R) Core(TM) i7-10750H CPU @ 2.60GHz,Dell G5 5500,"nVidia TU106 USB 3.1 Host Controller  (10de:1ada),Intel Corp. Comet Lake USB 3.1 xHCI Host Controller  (8086:06ed),Intel Corp. JHL7540 Thunderbolt 3 USB Controller [Titan Ridge 2C 2018]  (8086:15e9)","nVidia TU106M [GeForce RTX 2070 Mobile / Max-Q Refresh]  (10de:1f14),Intel Corp. UHD Graphics  (8086:9bc4)",Intel Corp. Wireless AX201  (8086:06f0)
Dell 1.12.1,Intel Corp. Bluetooth 9460/9560 Jefferson Peak (JfP)  (8087:0aaa),https://ubuntu.com/certified/202007-28038/20.04%20LTS,Lenovo ThinkPad X1 Titanium,,Intel Corp. Intel(R) Core(TM) i5-8365U CPU @ 1.60GHz,Dell Latitude 3301,Intel Corp. Cannon Point-LP USB 3.1 xHCI Controller  (8086:9ded),Intel Corp. UHD Graphics 620 (Whiskey Lake)  (8086:3ea0),Intel Corp. Cannon Point-LP CNVi [Wireless-AC]  (8086:9df0)
Lenovo R1NET33W (1.03 ),Intel Corp. AX200 Bluetooth  (8087:0029),https://ubuntu.com/certified/202107-29283/20.04%20LTS,Lenovo ThinkPad X1 Nano,"Realtek Semiconductor Co., Ltd. RTL8111/8168/8411 PCI Express Gigabit Ethernet Controller  (10ec:8168)","Advanced Micro Devices, Inc. AMD Ryzen 7 PRO 5850U with Radeon Graphics",,"Advanced Micro Devices [AMD] Renoir USB 3.1  (1022:1639),Renesas Technology Corp. uPD720202 USB 3.0 Host Controller  (1912:0015)","Advanced Micro Devices, Inc. [AMD/ATI] Cezanne  (1002:1638)",Intel Corp. Wi-Fi 6 AX200  (8086:2723)
Dell 1.12.1,Intel Corp. Bluetooth 9460/9560 Jefferson Peak (JfP)  (8087:0aaa),https://ubuntu.com/certified/202007-28035/20.04%20LTS,Lenovo ThinkPad X1 Nano,,Intel Corp. Intel(R) Core(TM) i7-8565U CPU @ 1.80GHz,Dell Latitude 3301,Intel Corp. Cannon Point-LP USB 3.1 xHCI Controller  (8086:9ded),Intel Corp. UHD Graphics 620 (Whiskey Lake)  (8086:3ea0),Intel Corp. Cannon Point-LP CNVi [Wireless-AC]  (8086:9df0)
Dell 0.2.4,Atheros Communications 0cf3:e007  (0cf3:e007),https://ubuntu.com/certified/202101-28594/20.04%20LTS,Lenovo ThinkPad X1 Nano,,Intel Corp. 11th Gen Intel(R) Core(TM) i3-1125G4 @ 2.00GHz,Dell Inspiron 5510,"Intel Corp. Tiger Lake-LP Thunderbolt USB Controller  (8086:9a13),Intel Corp. Tiger Lake-LP Thunderbolt NHI #0  (8086:9a1b),Intel Corp. Tiger Lake-LP USB 3.2 Gen 2x1 xHCI Host Controller  (8086:a0ed)",Intel Corp. 8086:9a78  (8086:9a78),Qualcomm Atheros Killer N1525 Wireless-AC  (168c:003e)
Lenovo N32ET35W (1.11 ),Intel Corp. 8087:0026  (8087:0026),https://ubuntu.com/certified/202102-28709/20.04%20LTS,Lenovo ThinkPad X1 Nano,Lenovo Lenovo USB-C to LAN  (17ef:720c),Intel Corp. 11th Gen Intel(R) Core(TM) i7-1185G7 @ 3.00GHz,,"Intel Corp. Tiger Lake-LP Thunderbolt USB Controller  (8086:9a13),Intel Corp. Tiger Lake-LP Thunderbolt NHI #0  (8086:9a1b),Intel Corp. Tiger Lake-LP Thunderbolt NHI #1  (8086:9a1d),Intel Corp. Tiger Lake-LP USB 3.2 Gen 2x1 xHCI Host Controller  (8086:a0ed)",Intel Corp. UHD Graphics  (8086:9a49),Intel Corp. Wi-Fi 6 AX201  (8086:a0f0)
Dell 0.2.4,Intel Corp. Bluetooth 9460/9560 Jefferson Peak (JfP)  (8087:0aaa),https://ubuntu.com/certified/202101-28592/20.04%20LTS,Lenovo ThinkPad X1 Nano,,Intel Corp. 11th Gen Intel(R) Core(TM) i5-11300H @ 3.10GHz,Dell Inspiron 5410,"Intel Corp. Tiger Lake-LP Thunderbolt USB Controller  (8086:9a13),Intel Corp. Tiger Lake-LP Thunderbolt NHI #0  (8086:9a1b),Intel Corp. Tiger Lake-LP USB 3.2 Gen 2x1 xHCI Host Controller  (8086:a0ed)",Intel Corp. UHD Graphics  (8086:9a49),Intel Corp. Wi-Fi 6 AX201  (8086:a0f0)
Dell 1.12.1,Intel Corp. Bluetooth 9460/9560 Jefferson Peak (JfP)  (8087:0aaa),https://ubuntu.com/certified/202007-28037/20.04%20LTS,Lenovo ThinkPad X1 Extreme Gen 3,,Intel Corp. Intel(R) Core(TM) i5-8265U CPU @ 1.60GHz,Dell Latitude 3301,Intel Corp. Cannon Point-LP USB 3.1 xHCI Controller  (8086:9ded),Intel Corp. UHD Graphics 620 (Whiskey Lake)  (8086:3ea0),Intel Corp. Cannon Point-LP CNVi [Wireless-AC]  (8086:9df0)
Dell 1.0.1,Intel Corp. 8087:0026  (8087:0026),https://ubuntu.com/certified/202103-28819/20.04%20LTS,Lenovo ThinkPad X1 Extreme Gen 3,"Realtek Semiconductor Co., Ltd. 10ec:2600  (10ec:2600)",Intel Corp. 11th Gen Intel(R) Core(TM) i7-11800H @ 2.30GHz,,"Intel Corp. Tiger Lake-H USB 3.2 Gen 2x1 xHCI Host Controller  (8086:43ed),Intel Corp. Tiger Lake-H Thunderbolt USB Controller  (8086:9a17),Intel Corp. Tiger Lake-H Thunderbolt NHI #0  (8086:9a1f)","nVidia GA106M [GeForce RTX 3060 Mobile / Max-Q]  (10de:2560),Intel Corp. TigerLake GT2 [Iris Xe Graphics]  (8086:9a60)",Intel Corp. Wi-Fi 6 AX201  (8086:43f0)
Lenovo N35ET35B (1.34 ),Intel Corp. 8087:0026  (8087:0026),https://ubuntu.com/certified/202105-29060/20.04%20LTS,Lenovo ThinkPad X1 Extreme Gen 3,Intel Corp. Ethernet Connection (13) I219-LM  (8086:15fb),Intel Corp. 11th Gen Intel(R) Core(TM) i7-1185G7 @ 3.00GHz,,"Intel Corp. Tiger Lake-LP Thunderbolt USB Controller  (8086:9a13),Intel Corp. Tiger Lake-LP Thunderbolt NHI #0  (8086:9a1b),Intel Corp. Tiger Lake-LP Thunderbolt NHI #1  (8086:9a1d),Intel Corp. Tiger Lake-LP USB 3.2 Gen 2x1 xHCI Host Controller  (8086:a0ed)",Intel Corp. UHD Graphics  (8086:9a49),Intel Corp. Wi-Fi 6 AX201  (8086:a0f0)
Lenovo N2TET53W (1.31 ),Intel Corp. 8087:0026  (8087:0026),https://ubuntu.com/certified/202012-28574/20.04%20LTS,Lenovo ThinkPad X1 Carbon Gen 9th,Lenovo Lenovo USB-C to LAN  (17ef:720c),Intel Corp. 11th Gen Intel(R) Core(TM) i7-1180G7 @ 1.30GHz,Lenovo 20UQZ8XYUS,"Intel Corp. Tiger Lake-LP Thunderbolt USB Controller  (8086:9a13),Intel Corp. Tiger Lake-LP Thunderbolt NHI #0  (8086:9a1b),Intel Corp. Tiger Lake-LP Thunderbolt NHI #1  (8086:9a1d),Intel Corp. Tiger Lake-LP USB 3.2 Gen 2x1 xHCI Host Controller  (8086:a0ed),Lenovo 17ef:30c1  (17ef:30c1)",Intel Corp. 8086:9a40  (8086:9a40),Intel Corp. Wi-Fi 6 AX201  (8086:a0f0)
Lenovo N2MET47W (1.12 ),Intel Corp. 8087:0026  (8087:0026),https://ubuntu.com/certified/202104-28989/20.04%20LTS,Lenovo ThinkPad X1 Carbon Gen 9th,Lenovo Lenovo USB-C to LAN  (17ef:720c),Intel Corp. 11th Gen Intel(R) Core(TM) i7-1180G7 @ 1.30GHz,,"Intel Corp. Tiger Lake-LP Thunderbolt USB Controller  (8086:9a13),Intel Corp. Tiger Lake-LP Thunderbolt NHI #0  (8086:9a1b),Intel Corp. Tiger Lake-LP Thunderbolt NHI #1  (8086:9a1d),Intel Corp. Tiger Lake-LP USB 3.2 Gen 2x1 xHCI Host Controller  (8086:a0ed),Lenovo 17ef:30c1  (17ef:30c1)",Intel Corp. 8086:9a40  (8086:9a40),Intel Corp. Wi-Fi 6 AX201  (8086:a0f0)
Dell 0.2.4,Intel Corp. 8087:0026  (8087:0026),https://ubuntu.com/certified/202101-28595/20.04%20LTS,Lenovo ThinkPad X1 Carbon 8th Gen,,Intel Corp. 11th Gen Intel(R) Core(TM) i7-11370H @ 3.30GHz,Dell Inspiron 5510,"Intel Corp. Tiger Lake-LP Thunderbolt USB Controller  (8086:9a13),Intel Corp. Tiger Lake-LP Thunderbolt NHI #0  (8086:9a1b),Intel Corp. Tiger Lake-LP USB 3.2 Gen 2x1 xHCI Host Controller  (8086:a0ed)","nVidia TU117M [GeForce MX450]  (10de:1f97),Intel Corp. UHD Graphics  (8086:9a49)",Intel Corp. Wi-Fi 6 AX201  (8086:a0f0)
Lenovo N2VET22W (1.07 ),Intel Corp. 8087:0026  (8087:0026),https://ubuntu.com/certified/202009-28222/20.04%20LTS,Lenovo ThinkPad P17 Gen 2 (RTX A5000),Lenovo Lenovo USB-C to LAN  (17ef:720c),Intel Corp. Intel(R) Core(TM) i9-10885H CPU @ 2.40GHz,Lenovo 20TLZ5HWUS,"Intel Corp. Comet Lake USB 3.1 xHCI Host Controller  (8086:06ed),Intel Corp. JHL7540 Thunderbolt 3 USB Controller [Titan Ridge 4C 2018]  (8086:15ec)","nVidia TU117M [GeForce GTX 1650 Ti Mobile]  (10de:1f95),Intel Corp. UHD Graphics  (8086:9bc4)",Intel Corp. Wireless AX201  (8086:06f0)
Lenovo N38ET27W (1.08 ),Intel Corp. 8087:0026  (8087:0026),https://ubuntu.com/certified/202107-29314/20.04%20LTS,Lenovo ThinkPad P17 Gen 2 (RTX A5000),Intel Corp. Ethernet Connection (14) I219-LM  (8086:15f9),Intel Corp. 11th Gen Intel(R) Core(TM) i7-11850H @ 2.50GHz,,"Intel Corp. Tiger Lake-H USB 3.2 Gen 2x1 xHCI Host Controller  (8086:43ed),Intel Corp. Tiger Lake-H Thunderbolt 4 USB Controller  (8086:9a17),Intel Corp. Tiger Lake-H Thunderbolt 4 NHI #0  (8086:9a1f)","nVidia TU117M  (10de:1f99),Intel Corp. TigerLake-H GT1 [UHD Graphics]  (8086:9a60)",Intel Corp. Wi-Fi 6 AX201  (8086:43f0)
Lenovo N32ET35W (1.11 ),Intel Corp. 8087:0026  (8087:0026),https://ubuntu.com/certified/202102-28710/20.04%20LTS,Lenovo ThinkPad P17 Gen1,Lenovo Lenovo USB-C to LAN  (17ef:720c),Intel Corp. 11th Gen Intel(R) Core(TM) i7-1185G7 @ 3.00GHz,,"Intel Corp. Tiger Lake-LP Thunderbolt USB Controller  (8086:9a13),Intel Corp. Tiger Lake-LP Thunderbolt NHI #0  (8086:9a1b),Intel Corp. Tiger Lake-LP Thunderbolt NHI #1  (8086:9a1d),Intel Corp. Tiger Lake-LP USB 3.2 Gen 2x1 xHCI Host Controller  (8086:a0ed)",Intel Corp. UHD Graphics  (8086:9a49),Intel Corp. Wi-Fi 6 AX201  (8086:a0f0)
Lenovo N2WET14W (1.04 ),Intel Corp. 8087:0026  (8087:0026),https://ubuntu.com/certified/202005-27937/20.04%20LTS,Lenovo ThinkPad P17 Gen1,Intel Corp. Ethernet Connection (10) I219-LM  (8086:0d4e),Intel Corp. Intel(R) Core(TM) i5-10310U CPU @ 1.70GHz,Lenovo 20UAZ566US,"Intel Corp. Comet Lake PCH-LP USB 3.1 xHCI Host Controller  (8086:02ed),Intel Corp. JHL6540 Thunderbolt 3 USB Controller (C step) [Alpine Ridge 4C 2016]  (8086:15d4)",Intel Corp. UHD Graphics  (8086:9b41),Intel Corp. Wireless-AC 9462  (8086:02f0)
Lenovo N30ET27W (1.10 ),Intel Corp. 8087:0026  (8087:0026),https://ubuntu.com/certified/202011-28374/20.04%20LTS,Lenovo ThinkPad P17 Gen1,Intel Corp. Ethernet Connection (11) I219-V  (8086:0d4d),Intel Corp. Intel(R) Core(TM) i9-10980HK CPU @ 2.40GHz,Lenovo 20URZ5G6US,"nVidia TU104 USB 3.1 Host Controller  (10de:1ad8),Intel Corp. Comet Lake USB 3.1 xHCI Host Controller  (8086:06ed),Intel Corp. JHL7540 Thunderbolt 3 USB Controller [Titan Ridge 4C 2018]  (8086:15ec)","nVidia TU104M [GeForce RTX 2080 SUPER Mobile / Max-Q]  (10de:1e93),Intel Corp. UHD Graphics  (8086:9bc4)",Intel Corp. Wireless AX201  (8086:06f0)
Lenovo R1CET55T(1.24 ),Intel Corp. AX200 Bluetooth  (8087:0029),https://ubuntu.com/certified/202006-27978/20.04%20LTS,Lenovo ThinkPad P17 Gen1,"Realtek Semiconductor Co., Ltd. RTL8111/8168/8411 PCI Express Gigabit Ethernet Controller  (10ec:8168)","Advanced Micro Devices, Inc. AMD Ryzen 5 PRO 4650U with Radeon Graphics",Lenovo 20UHZ5DXUS,"Advanced Micro Devices [AMD] Renoir USB 3.1  (1022:1639),Realtek Semiconductor Co., Ltd. RTL8111xP EHCI host controller  (10ec:816d),Renesas Technology Corp. uPD720202 USB 3.0 Host Controller  (1912:0015)","Advanced Micro Devices, Inc. [AMD/ATI] Renoir  (1002:1636)",Intel Corp. Wi-Fi 6 AX200  (8086:2723)
Lenovo N37ET34W (1.15 ),Intel Corp. 8087:0032  (8087:0032),https://ubuntu.com/certified/202107-29322/20.04%20LTS,Lenovo ThinkPad P17 Gen 2 (RTX A3000),Intel Corp. Ethernet Controller I225-LM  (8086:15f2),Intel Corp. 11th Gen Intel(R) Core(TM) i7-11850H @ 2.50GHz,,"Intel Corp. Tiger Lake-H USB 3.2 Gen 2x1 xHCI Host Controller  (8086:43ed),Intel Corp. Tiger Lake-H Thunderbolt 4 USB Controller  (8086:9a17),Intel Corp. Tiger Lake-H Thunderbolt 4 NHI #0  (8086:9a1f)","nVidia GA104M [GeForce RTX 3070 Mobile / Max-Q]  (10de:249d),Intel Corp. TigerLake-H GT1 [UHD Graphics]  (8086:9a60)",Intel Corp. Wi-Fi 6 AX210/AX211/AX411 160MHz  (8086:2725)
Lenovo R1BET55T(1.24 ),Intel Corp. AX200 Bluetooth  (8087:0029),https://ubuntu.com/certified/202006-27980/20.04%20LTS,Lenovo ThinkPad P17,"Realtek Semiconductor Co., Ltd. RTL8111/8168/8411 PCI Express Gigabit Ethernet Controller  (10ec:8168)","Advanced Micro Devices, Inc. AMD Ryzen 7 PRO 4750U with Radeon Graphics",Lenovo 20UDZ5DMUS,"Advanced Micro Devices [AMD] Renoir USB 3.1  (1022:1639),Realtek Semiconductor Co., Ltd. RTL8111xP EHCI host controller  (10ec:816d),Renesas Technology Corp. uPD720202 USB 3.0 Host Controller  (1912:0015)","Advanced Micro Devices, Inc. [AMD/ATI] Renoir  (1002:1636)",Intel Corp. Wi-Fi 6 AX200  (8086:2723)
Lenovo N37ET34W (1.15 ),Intel Corp. 8087:0032  (8087:0032),https://ubuntu.com/certified/202108-29351/20.04%20LTS,Lenovo ThinkPad P17,Intel Corp. Ethernet Controller I225-V  (8086:15f3),Intel Corp. 11th Gen Intel(R) Core(TM) i7-11800H @ 2.30GHz,,"Intel Corp. Tiger Lake-H USB 3.2 Gen 2x1 xHCI Host Controller  (8086:43ed),Intel Corp. Tiger Lake-H Thunderbolt 4 USB Controller  (8086:9a17),Intel Corp. Tiger Lake-H Thunderbolt 4 NHI #0  (8086:9a1f)","nVidia GA104M [GeForce RTX 3080 Mobile / Max-Q 8GB/16GB]  (10de:249c),Intel Corp. TigerLake-H GT1 [UHD Graphics]  (8086:9a60)",Intel Corp. Wi-Fi 6 AX210/AX211/AX411 160MHz  (8086:2725)
Lenovo N34ET19W (1.08 ),Intel Corp. 8087:0032  (8087:0032),https://ubuntu.com/certified/202104-28912/20.04%20LTS,Lenovo ThinkPad P17 Gen 2 (RTX A2000),Intel Corp. Ethernet Connection (13) I219-V  (8086:15fc),Intel Corp. 11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz,,"Intel Corp. Tiger Lake-LP Thunderbolt USB Controller  (8086:9a13),Intel Corp. Tiger Lake-LP Thunderbolt NHI #0  (8086:9a1b),Intel Corp. Tiger Lake-LP Thunderbolt NHI #1  (8086:9a1d),Intel Corp. Tiger Lake-LP USB 3.2 Gen 2x1 xHCI Host Controller  (8086:a0ed)","nVidia TU117M [GeForce MX450]  (10de:1f9c),Intel Corp. UHD Graphics  (8086:9a49)",Intel Corp. Wi-Fi 6 AX210/AX211/AX411 160MHz  (8086:2725)
Lenovo N35ET21W (1.06 ),Intel Corp. 8087:0032  (8087:0032),https://ubuntu.com/certified/202103-28856/20.04%20LTS,Lenovo ThinkPad P17 Gen 2 (RTX A2000),Intel Corp. Ethernet Connection (13) I219-V  (8086:15fc),Intel Corp. 11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz,,"Intel Corp. Tiger Lake-LP Thunderbolt USB Controller  (8086:9a13),Intel Corp. Tiger Lake-LP Thunderbolt NHI #0  (8086:9a1b),Intel Corp. Tiger Lake-LP Thunderbolt NHI #1  (8086:9a1d),Intel Corp. Tiger Lake-LP USB 3.2 Gen 2x1 xHCI Host Controller  (8086:a0ed)",Intel Corp. UHD Graphics  (8086:9a49),Intel Corp. Wi-Fi 6 AX210/AX211/AX411 160MHz  (8086:2725)
Lenovo N34ET41W (1.41 ),Intel Corp. 8087:0032  (8087:0032),https://ubuntu.com/certified/202103-28855/20.04%20LTS,Lenovo ThinkPad P17 Gen 2 (Quadro T1200),Intel Corp. Ethernet Connection (13) I219-V  (8086:15fc),Intel Corp. 11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz,,"Intel Corp. Tiger Lake-LP Thunderbolt 4 USB Controller  (8086:9a13),Intel Corp. Tiger Lake-LP Thunderbolt 4 NHI #0  (8086:9a1b),Intel Corp. Tiger Lake-LP Thunderbolt 4 NHI #1  (8086:9a1d),Intel Corp. Tiger Lake-LP USB 3.2 Gen 2x1 xHCI Host Controller  (8086:a0ed)","nVidia TU117M [GeForce MX450]  (10de:1f9c),Intel Corp. TigerLake-LP GT2 [Iris Xe Graphics]  (8086:9a49)",Intel Corp. Wi-Fi 6 AX210/AX211/AX411 160MHz  (8086:2725)
Lenovo N30ET27W (1.10 ),Intel Corp. 8087:0026  (8087:0026),https://ubuntu.com/certified/202011-28373/20.04%20LTS,Lenovo ThinkPad P17,Intel Corp. Ethernet Connection (11) I219-V  (8086:0d4d),Intel Corp. Intel(R) Core(TM) i7-10750H CPU @ 2.60GHz,Lenovo 20URZ5G3US,"nVidia TU104 USB 3.1 Host Controller  (10de:1ad8),Intel Corp. Comet Lake USB 3.1 xHCI Host Controller  (8086:06ed),Intel Corp. JHL7540 Thunderbolt 3 USB Controller [Titan Ridge 4C 2018]  (8086:15ec)","nVidia TU104M [GeForce RTX 2070 SUPER Mobile / Max-Q]  (10de:1e91),Intel Corp. UHD Graphics  (8086:9bc4)",Intel Corp. Wireless AX201  (8086:06f0)
Lenovo N30ET22W (1.05 ),Intel Corp. 8087:0026  (8087:0026),https://ubuntu.com/certified/202008-28183/20.04%20LTS,Lenovo ThinkPad P17,Intel Corp. Ethernet Connection (11) I219-LM  (8086:0d4c),Intel Corp. Intel(R) Core(TM) i7-10850H CPU @ 2.70GHz,Lenovo 20TMZ5KEUS,"Intel Corp. Comet Lake USB 3.1 xHCI Host Controller  (8086:06ed),Intel Corp. JHL7540 Thunderbolt 3 USB Controller [Titan Ridge 2C 2018]  (8086:15e9)","nVidia GP107M [GeForce GTX 1050 3 GB Max-Q]  (10de:1c91),Intel Corp. UHD Graphics  (8086:9bc4)",Intel Corp. Wireless AX201  (8086:06f0)
Lenovo N30ET27W (1.10 ),Intel Corp. 8087:0026  (8087:0026),https://ubuntu.com/certified/202010-28339/20.04%20LTS,Lenovo ThinkPad P17,Intel Corp. Ethernet Connection (11) I219-LM  (8086:0d4c),Intel Corp. Intel(R) Core(TM) i5-10400H CPU @ 2.60GHz,Lenovo 20SNZ5G8US,"Intel Corp. Comet Lake USB 3.1 xHCI Host Controller  (8086:06ed),Intel Corp. JHL7540 Thunderbolt 3 USB Controller [Titan Ridge 4C 2018]  (8086:15ec)","nVidia TU117GLM [Quadro T1000 Mobile]  (10de:1fb9),Intel Corp. UHD Graphics  (8086:9bc4)",Intel Corp. Wireless AX201  (8086:06f0)
